Combined_Key,Population
"Effingham, Georgia, US",64296
"Elbert, Georgia, US",19194
"Emanuel, Georgia, US",22646
"Evans, Georgia, US",10654
"Fannin, Georgia, US",26188
"Fayette, Georgia, US",114421
"Floyd, Georgia, US",98498
"Forsyth, Georgia, US",244252
"Franklin, Georgia, US",23349
"Fulton, Georgia, US",1063937
"Gilmer, Georgia, US",31369
"Glascock, Georgia, US",2971
"Glynn, Georgia, US",85292
"Gordon, Georgia, US",57963
"Grady, Georgia, US",24633
"Greene, Georgia, US",18324
"Gwinnett, Georgia, US",936250
"Habersham, Georgia, US",45328
"Hall, Georgia, US",204441
"Hancock, Georgia, US",8457
"Haralson, Georgia, US",29792
"Harris, Georgia, US",35236
"Hart, Georgia, US",26205
"Heard, Georgia, US",11923
"Henry, Georgia, US",234561
"Houston, Georgia, US",157863
"Irwin, Georgia, US",9416
"Jackson, Georgia, US",72977
"Jasper, Georgia, US",14219
"Jeff Davis, Georgia, US",15115
"Jefferson, Georgia, US",15362
"Jenkins, Georgia, US",8676
"Johnson, Georgia, US",9643
"Jones, Georgia, US",28735
"Lamar, Georgia, US",19077
"Lanier, Georgia, US",10423
"Laurens, Georgia, US",47546
"Lee, Georgia, US",29992
"Liberty, Georgia, US",61435
"Lincoln, Georgia, US",7921
"Long, Georgia, US",19559
"Lowndes, Georgia, US",117406
"Lumpkin, Georgia, US",33610
"McDuffie, Georgia, US",21312
"McIntosh, Georgia, US",14378
"Macon, Georgia, US",12947
"Madison, Georgia, US",29880
"Marion, Georgia, US",8359
"Meriwether, Georgia, US",21167
"Miller, Georgia, US",5718
"Mitchell, Georgia, US",21863
"Monroe, Georgia, US",27578
"Montgomery, Georgia, US",9172
"Morgan, Georgia, US",19276
"Murray, Georgia, US",40096
"Muscogee, Georgia, US",195769
"Newton, Georgia, US",111744
"Oconee, Georgia, US",40280
"Oglethorpe, Georgia, US",15259
"Paulding, Georgia, US",168667
"Peach, Georgia, US",27546
"Pickens, Georgia, US",32591
"Pierce, Georgia, US",19465
"Pike, Georgia, US",18962
"Polk, Georgia, US",42613
"Pulaski, Georgia, US",11137
"Putnam, Georgia, US",22119
"Quitman, Georgia, US",2299
"Rabun, Georgia, US",17137
"Randolph, Georgia, US",6778
"Richmond, Georgia, US",202518
"Rockdale, Georgia, US",90896
"Schley, Georgia, US",5257
"Screven, Georgia, US",13966
"Seminole, Georgia, US",8090
"Spalding, Georgia, US",66703
"Stephens, Georgia, US",25925
"Stewart, Georgia, US",6621
"Sumter, Georgia, US",29524
"Talbot, Georgia, US",6195
"Taliaferro, Georgia, US",1537
"Tattnall, Georgia, US",25286
"Taylor, Georgia, US",8020
"Telfair, Georgia, US",15860
"Terrell, Georgia, US",8531
"Thomas, Georgia, US",44451
"Tift, Georgia, US",40644
"Toombs, Georgia, US",26830
"Towns, Georgia, US",12037
"Treutlen, Georgia, US",6901
"Troup, Georgia, US",69922
"Turner, Georgia, US",7985
"Twiggs, Georgia, US",8120
"Union, Georgia, US",24511
"Upson, Georgia, US",26320
"Walker, Georgia, US",69761
"Walton, Georgia, US",94593
"Ware, Georgia, US",35734
"Warren, Georgia, US",5254
"Washington, Georgia, US",20374
"Wayne, Georgia, US",29927
"Webster, Georgia, US",2607
"Wheeler, Georgia, US",7855
"White, Georgia, US",30798
"Whitfield, Georgia, US",104628
"Wilcox, Georgia, US",8635
"Wilkes, Georgia, US",9777
"Wilkinson, Georgia, US",8954
"Worth, Georgia, US",20247
"Hawaii, Hawaii, US",201513
"Honolulu, Hawaii, US",974563
"Kalawao, Hawaii, US",86
"Kauai, Hawaii, US",72293
"Maui, Hawaii, US",167417
"Ada, Idaho, US",481587
"Adams, Idaho, US",4294
"Bannock, Idaho, US",87808
"Bear Lake, Idaho, US",6125
"Benewah, Idaho, US",9298
"Bingham, Idaho, US",46811
"Blaine, Idaho, US",23021
"Boise, Idaho, US",7831
"Bonner, Idaho, US",45739
"Bonneville, Idaho, US",119062
"Boundary, Idaho, US",12245
"Butte, Idaho, US",2597
"Camas, Idaho, US",1106
"Canyon, Idaho, US",229849
"Caribou, Idaho, US",7155
"Cassia, Idaho, US",24030
"Clark, Idaho, US",845
"Clearwater, Idaho, US",8756
"Custer, Idaho, US",4315
"Elmore, Idaho, US",27511
"Franklin, Idaho, US",13876
"Fremont, Idaho, US",13099
"Gem, Idaho, US",18112
"Gooding, Idaho, US",15179
"Idaho, Idaho, US",16667
"Jefferson, Idaho, US",29871
"Jerome, Idaho, US",24412
"Kootenai, Idaho, US",165697
